;X;Y;type;name;opening_hours;wheelchair;cuisine;phone;website;com_insee;com_nom;categorie;notation;prix;enjoyment_rate;wikipedia
27;261860.86795858416;6255805.083593878;restaurant;Navel;"Mo 19:00-00:00; Tu-Su 12:00-14:30,19:00-00:00";;indian;+33 1 42 62 47 78;http://www.navelrestaurant.com;75056;Paris;restaurant;;;;
38;251333.85125612558;6248639.7161117345;restaurant;Brasserie Moliteuil;;;french;;;75056;Paris;restaurant;;;;
46;252169.24837478375;6247815.806858184;restaurant;Le Pavillon de Jade;;;chinese;+33 1 42 88 56 58;;75056;Paris;restaurant;;;;
47;252195.72014969436;6247797.759896803;restaurant;Iannello;;;italian;;;75056;Paris;restaurant;;;;
50;262480.0714941727;6251006.748624001;restaurant;Le Dôme du Marais;Mo-Su 12:00-01:00;no;french;+331 42 74 54 17;http://www.ledomedumarais.fr/;75056;Paris;restaurant;;;;
51;266925.9604494235;6249073.590416149;fast_food;Burger King;Mo-Su 10:00-02:00;yes;burger;;;75056;Paris;restaurant;;;;
52;264454.8124691509;6249026.224991815;restaurant;Le Pop-up du Label;;;french;+33 1 77 11 04 24;;75056;Paris;restaurant;;;;
53;264491.0914912004;6249110.90779055;fast_food;L'Abel Vie;;;japanese;;;75056;Paris;restaurant;;;;
60;264224.7484775284;6248898.542660096;fast_food;So Much...;;;sandwich;+33 1 43 43 35 35;;75056;Paris;restaurant;;;;
61;255613.57360746936;6247393.3286124915;restaurant;Yuki;;;japanese;;;75056;Paris;restaurant;;;;
62;260142.06162488877;6252371.044120897;restaurant;Yamamoto;;;japanese;;;75056;Paris;restaurant;;;;
63;258015.42520472314;6246007.8005839195;restaurant;Les Artistes;Mo-Su 08:00-02:00;limited;french;;;75056;Paris;restaurant;;;;
64;257837.9040127551;6245789.121349385;restaurant;Le 14 Juillet;Mo-Su 12:00-23:00;;french;;;75056;Paris;restaurant;;;;
68;254344.24198174998;6247707.136655127;restaurant;Pizzeria Romanella;;limited;pizza;;;75056;Paris;restaurant;;;;
70;259123.66639531555;6246862.516481394;restaurant;Un Jour à Hà Nôi;Mo-Sa 12:00-15:00,19:00-22:00;;vietnamese;+33142181692;;75056;Paris;restaurant;;;;
71;258916.9349689634;6246981.796639292;restaurant;Enzo;;no;pizza;;;75056;Paris;restaurant;;;;
73;258821.06662349222;6247006.944960098;restaurant;Bistrot Augustin;;yes;french;;;75056;Paris;restaurant;;;;
74;259083.30194795394;6246885.888698215;restaurant;Yummy House;;;asian;;;75056;Paris;restaurant;;;;
76;259309.83711171825;6246758.982733395;restaurant;Yaai Thai;Mo-Su 12:30-14:30, 19:00-23:00;;thai;+33 9 81 07 85 25;https://www.yaaithai.com/;75056;Paris;restaurant;;;;
77;258786.33494236477;6246473.924772685;restaurant;Félicie;;;french;;;75056;Paris;restaurant;;;;
78;258977.35918856604;6246780.257614602;restaurant;Indian House;;;indian;;http://www.restaurabtindien-paris.fr/;75056;Paris;restaurant;;;;
80;255020.15166594854;6254456.501582075;restaurant;Au Petit Marguery;;;french;;;75056;Paris;restaurant;;;;
88;254192.27974486802;6253924.4341608845;restaurant;Il Maestro;;;italian;;;75056;Paris;restaurant;;;;
89;261148.47887725264;6249445.333612356;restaurant;Le Pré Verre;Tu-Sa 12:00-14:00, 19:30-22:30;;"regional;french";+33 1 43 54 59 47;;75056;Paris;restaurant;;;;
91;264707.4854493534;6249200.277311539;restaurant;3FC Restaurant;;;couscous;;;75056;Paris;restaurant;;;;
92;264985.17191913724;6249641.877745924;restaurant;La Banane ivoirienne;;;ivorian;;;75056;Paris;restaurant;;;;
98;254372.99580622185;6254069.998689228;restaurant;Il Naturale;;limited;pizza;;;75056;Paris;restaurant;;;;
99;254352.00095025823;6254081.000761123;restaurant;La Terrasse;"Mo-Sa 08:00-02:00; Su 09:00-02:00";;"breakfast;french;coffee_shop";+33 1 45 74 32 10;;75056;Paris;restaurant;;;;
100;254335.00246401413;6254086.992664751;restaurant;Le Maillot;"Mo-Fr 06:15-01:00; Sa-Su 07:00-01:00";;"breakfast;french;coffee_shop";+33 1 45 74 41 42;https://lemaillotparis.fr/fr;75056;Paris;restaurant;;;;
101;260999.3107595896;6250017.215614238;restaurant;Au Saint-Séverin;;;french;+33 1 43 54 19 36;;75056;Paris;restaurant;;;;
104;261203.97164341307;6249910.208960412;restaurant;Jardin Notre-Dame;;;french;;;75056;Paris;restaurant;;;;
105;261200.55413504568;6249892.022193194;restaurant;Welcome to Istanbul;;;turkish;;;75056;Paris;restaurant;;;;
106;261140.92028382773;6249628.005485003;restaurant;Le Bar à Huîtres - Saint-Germain;Mo-Su 12:00-00:00;;seafood;+33 1 44 07 27 37;http://www.lebarahuitres.com/;75056;Paris;restaurant;;;;
107;261380.357376575;6249701.596396882;restaurant;Hippopotamus;;limited;steak_house;;;75056;Paris;restaurant;;;;
108;261331.75528689465;6249532.507427278;restaurant;Le Twickenham;;;seafood;+33 1 43 54 52 44;http://www.letwickenham.com/;75056;Paris;restaurant;;;;
112;257513.9642945467;6248008.778129694;restaurant;Délices d'Asie;;;asian;;;75056;Paris;restaurant;;;;
119;257787.9104294399;6254075.076566787;restaurant;Sanna Tandoori;;;indian;;;75056;Paris;restaurant;;;;
125;261403.87918497963;6249205.064688975;restaurant;Pizza Roma;;;pizza;;;75056;Paris;restaurant;;;;
129;261724.45705456607;6249618.125742311;restaurant;Hostellerie de l'Oie qui fume;;;french;+33951138899;;75056;Paris;restaurant;;;;
130;261438.36596322735;6249804.6247476805;fast_food;Subway;Mo-Su 09:00-11:00;;sandwich;;;75056;Paris;restaurant;;;;
136;260649.0551137576;6248209.3145949505;restaurant;Le Risalé;;;turkish;;http://www.lerisale.fr/;75056;Paris;restaurant;;;;
137;261613.9279321574;6250727.384938281;restaurant;Le Céleste Gourmand;;;chinese;+33 1 44 59 37 68;https://lecelestegourmand.com/;75056;Paris;restaurant;;;;
150;261524.90573537006;6248594.991902029;restaurant;Quartier Latin;;;italian;;;75056;Paris;restaurant;;;;
154;261583.50431532363;6248592.217790897;restaurant;Buro Blanco;;;spanish;;;75056;Paris;restaurant;;;;
157;261722.44217178275;6247584.784977219;restaurant;Dans les Landes;Mo-Su 12:00-23:00;;gascogne;+33 1 45 87 06 00;http://www.dansleslandesmaisaparis.com;75056;Paris;restaurant;;;;
158;262293.199464978;6247488.464295317;restaurant;Romanella;;;pizza;;;75056;Paris;restaurant;;;;
168;262858.95851303666;6250809.834421351;restaurant;Le Petit Dakar;"Tu-Sa 12:30-14:30;Tu-Su 19:30-22:30";no;african;+331 44 59 34 74;https://www.lepetitdakar.com/;75056;Paris;restaurant;;;;
173;256318.2037202926;6250871.896248567;restaurant;La Fontaine de Mars;;yes;fine_dining;+33 1 47 05 46 44;http://www.fontainedemars.com/;75056;Paris;restaurant;;;;
175;263277.3862150304;6255221.316093864;restaurant;Meram;;;turkish;;;75056;Paris;restaurant;;;;
176;256433.3859974164;6250613.178587054;fast_food;L'Artisan du Burger;;;burger;;;75056;Paris;restaurant;;;;
177;256319.42823469135;6250827.684764001;restaurant;Pottoka;Mo-Su 12:00-14:30, 19:30-22:30;;french;+33145518838;https://pottoka.fr/;75056;Paris;restaurant;;;;
178;256065.95375415505;6251109.572888074;restaurant;Il Sorrentino;;;italian;;;75056;Paris;restaurant;;;;
180;255533.83545621412;6248842.838716398;restaurant;Le Café du Commerce;;no;french;+33 1 45 75 03 27;https://www.lecafeducommerce.com/;75056;Paris;restaurant;;;;
189;260460.4687644048;6249473.21289514;restaurant;Tokyotori;;;japanese;+33 1 55 42 02 88;;75056;Paris;restaurant;;;;
190;264284.98345399665;6249572.432082171;restaurant;Swan & Vincent;;;italian;;;75056;Paris;restaurant;;;;
191;264273.8626368664;6249448.429426242;restaurant;Le Cheval de Troie;;;turkish;+33143442444;;75056;Paris;restaurant;;;;
192;264701.8415511702;6249720.357952333;restaurant;Menekse;;;turkish;;;75056;Paris;restaurant;;;;
193;264518.7766485607;6249507.0470994245;restaurant;John Weng;;;asian;;;75056;Paris;restaurant;;;;
194;264312.4571043244;6249426.132824726;fast_food;Mister Loc Lac;Mo-Fr 12:00-18:00;;vietnamese;;http://misterloclac.com/;75056;Paris;restaurant;;;;
195;265049.5702445611;6248857.504735898;restaurant;Fu Yuan;;;chinese;;;75056;Paris;restaurant;;;;
196;264615.5355499582;6248638.227556325;restaurant;T(h)é;;;"chinese;vietnamese";;;75056;Paris;restaurant;;;;
199;261163.273237579;6256192.22441499;restaurant;Sakura Sushi;;;japanese;;;75056;Paris;restaurant;;;;
200;258155.96606184967;6255537.632059488;restaurant;Les fils à Maman;;;burger;;;75056;Paris;restaurant;;;;
201;254414.12835806998;6246969.095666381;restaurant;Yanase;Tu-Sa 12:00-14:30,19:30-22:30, Mo,Su off;;japanese;+33142500720;http://www.yanase.fr/;75056;Paris;restaurant;;;;
202;262962.04036151123;6245171.448944857;restaurant;Jardin d'Asie;Mo-Su,PH 11:30-14:30,18:30-22:30;;chinese;;;75056;Paris;restaurant;;;;
203;262992.36379080336;6244909.01647923;fast_food;Seng hong - 順興 - Banh-mi Dac biet;;;vietnamese;;;75056;Paris;restaurant;;;;
204;263040.4872066732;6245142.670759515;restaurant;Hawai;"Mo,We-Fr 11:30-15:00,18:00-23:00; Sa,Su 11:30-23:00";no;chinese;+33 1 45 86 91 90;http://www.hawai-ivry.fr/;75056;Paris;restaurant;;;;
207;263268.8368781375;6244676.48453588;restaurant;Chine Massena;;;chinese;;;75056;Paris;restaurant;;;;
210;263009.48472848727;6246054.574187202;restaurant;Mer de Chine - 北海;We-Su 12:00-15:00, Mo-Su 18:30-24:00;yes;chineses (Teochew) -  中国潮州;;;75056;Paris;restaurant;;;;
215;256087.05992960947;6249716.517666632;restaurant;Carmine;;yes;pizza;+33 147349056;;75056;Paris;restaurant;;;;
216;255166.23623371654;6250613.80460286;restaurant;Castel Cafe;;yes;french;+33147341698;;75056;Paris;restaurant;;;;
225;265307.49750472914;6249657.492525346;restaurant;Osteria Ferrara;"Mo-Fr 12:00-14:00; 19:30-22:00";;italian;+33 1 43 71 67 69;;75056;Paris;restaurant;;;;
232;266391.2150114999;6249512.545170386;restaurant;Comptoir Voltaire;;limited;brasserie;;;75056;Paris;restaurant;;;;
233;266256.68540687615;6249481.620682294;restaurant;Kim et Kim;;limited;korean;;;75056;Paris;restaurant;;;;
236;251482.5406999782;6248715.4128821585;fast_food;Délices d'Asie Chanez;;;asian;;;75056;Paris;restaurant;;;;
237;251375.46248178417;6248643.843471273;fast_food;Moli Crêpes;;;crepe;;;75056;Paris;restaurant;;;;
238;260543.76913936535;6256959.176808277;restaurant;Le Ruisseau;"Mo 19:30-23:00; Tu-Fr 12:00-15:00, 19:30-23:00; Sa, Su 12:00-23:00";;burger;+33142233123;http://www.leruisseauburger.com/;75056;Paris;restaurant;;;;
242;259703.94150497369;6253714.72408318;restaurant;Mybobun;;;vietnamese;;;75056;Paris;restaurant;;;;
244;259131.72592644906;6254124.721443472;fast_food;À Croquer;;;french;;;75056;Paris;restaurant;;;;
245;259289.83299922274;6255046.987625899;restaurant;Vincenzo;;;italian;;;75056;Paris;restaurant;;;;
247;259730.56912717142;6254880.263359237;restaurant;Chez Pino;;no;italian;;;75056;Paris;restaurant;;;;
250;259524.57240945846;6254418.822105733;restaurant;Kohinoor;Mo-Su 12:00-14:30, 18:30-23:30;;indian;;;75056;Paris;restaurant;;;;
252;259267.88079563828;6255140.499556445;restaurant;Crêperie Pen-ty;"Mo-Fr 12:00-14:30, 19:00-23:15; Sa 12:30-16:00, 18:00-23:30; Su 12:30-16:00, 18:30-23:00";;crepe;+33 1 48 74 18 49;https://www.creperiepenty.com/;75056;Paris;restaurant;;;;
253;259942.97784755408;6254402.843079239;restaurant;Via Emilia;;;italian;;;75056;Paris;restaurant;;;;
259;254319.72942987728;6254298.607754536;restaurant;Léon de Bruxelles;Mo-Su 11:45-23:30;;friture;+33 1 55 37 95 30;https://restaurants.leon-de-bruxelles.fr/fr/s/moules-frites/porte-maillot/15001;75056;Paris;restaurant;;;;
260;260779.43250137474;6254225.163076345;restaurant;La Palanche d'Aulac;"Mo-Tu 12:00-15:00,18:30-23:00; Th-Su 12:00-15:00,18:30-23:00; ";;vietnamese;;;75056;Paris;restaurant;;;;
270;261083.1009403097;6253657.380536846;restaurant;Black bean;;;mexican;;;75056;Paris;restaurant;;;;
272;261032.04982183193;6253935.0805979585;restaurant;Mi Ranchito Paisa;"Mo-Fr 12:00-14:30,19:00-23:30; Sa,Su 12:00-23:30";;latino;+33 1 48 78 45 94;;75056;Paris;restaurant;;;;
276;260705.0822134739;6253774.640718239;restaurant;Les Bariolés de Maud;"Mo-We, Fr 11:30-22:30; Th 11:30-00:00; Sa-Su 11:30-15:30";;sandwich;+33 9 73 17 01 68;http://lesbariolesdemaud.fr;75056;Paris;restaurant;;;;
277;261262.2585287924;6253003.525699421;fast_food;BOLLYNAN;;;indian;;;75056;Paris;restaurant;;;;
278;260663.39306417186;6253158.433602159;restaurant;Hard Rock Cafe;;yes;american;;;75056;Paris;restaurant;;;;
279;259971.2529982156;6255433.264259687;restaurant;Le Taroudant;;yes;moroccan;;;75056;Paris;restaurant;;;;
280;259988.60770683025;6255491.195424563;restaurant;La Mascotte Montmartre;;limited;french;;;75056;Paris;restaurant;;;;
281;259965.28627350903;6255464.921509896;restaurant;La Villa des Abbesses;;yes;french;;;75056;Paris;restaurant;;;;
282;259980.81534247467;6255460.147521268;restaurant;Café Bruant;;no;french;;;75056;Paris;restaurant;;;;
287;267499.6788410739;6247186.181758127;restaurant;Sakura;Tu-Sa 11:50-14:30,18:50-22:30;limited;japanese;;;75056;Paris;restaurant;;;;
288;267072.1006769369;6247504.0243664365;restaurant;Le 217;;;brasserie;;;75056;Paris;restaurant;;;;
290;265544.073686563;6248203.022386774;restaurant;Fondue Chongqing;;;"regional;chinese;Sichuan";+33 1 43 46 06 96;;75056;Paris;restaurant;;;;
296;256548.44582310034;6248914.054573583;restaurant;Fontanarosa;;;italian;;;75056;Paris;restaurant;;;;
299;256581.52997576408;6248898.644155626;restaurant;Chez Rami;;;lebanese;;;75056;Paris;restaurant;;;;
301;256892.345126008;6248972.245647219;fast_food;Traiteur Asiatique;;;asian;;;75056;Paris;restaurant;;;;
304;266130.27099313133;6247399.248134916;restaurant;Délices Dugommier;;limited;asian;;;75056;Paris;restaurant;;;;
306;265878.03215894283;6247715.373553991;restaurant;Le Touareg;Mo-Sa 12:00-15:00,19:00-23:00, Su 12:00-15:00;yes;mediterranean;+33 1 43076849;http://www.restaurantletouareg.com/;75056;Paris;restaurant;;;;
308;257205.66496479473;6249150.322965607;restaurant;Sushi Eiffel;;;japanese;;;75056;Paris;restaurant;;;;
309;257130.92505867613;6249653.61843329;restaurant;Giocco;;;italian;;;75056;Paris;restaurant;;;;
311;257119.1029287539;6249628.969775577;fast_food;Le P'tit Ministère;Mo-Fr 10:00-16:00;;burger;;;75056;Paris;restaurant;;;;
312;257170.8219641764;6249682.056678634;fast_food;L'Annex;;;sandwich;;;75056;Paris;restaurant;;;;
319;257497.74504473814;6249743.9072313355;restaurant;Ly Lan;;;asian;;;75056;Paris;restaurant;;;;
322;266662.3670271741;6248941.42462762;restaurant;L'Églantine;;;french;;;75056;Paris;restaurant;;;;
324;261984.7331559898;6253253.6340633705;restaurant;L'Épicerie de la Cour;;;french;;;75056;Paris;restaurant;;;;
325;261860.09985409764;6253124.720202116;restaurant;Pouliche;;;french;+33 1 45 89 07 56;https://www.poulicheparis.com/;75056;Paris;restaurant;;;;
326;262005.28273399026;6253243.14080449;restaurant;Gros;Mo-Su 12:00-00:00;;french;;https://www.grosrestaurant.fr;75056;Paris;restaurant;;;;
329;257872.3239993084;6254962.854856368;restaurant;I Love Bo-Bun;;;vietnamese;;http://www.ilovebobun.fr/i-love-bo-bun-17eme/;75056;Paris;restaurant;;;;
333;262240.445158291;6253029.758128674;restaurant;Le Trésor de Kashmir;;;indian;+33 1 84 19 29 14;http://restaurant-indien-paris10.fr;75056;Paris;restaurant;;;;
334;262061.1317225213;6253084.338766107;restaurant;Pooja;;yes;indian;;http://www.poojarestaurant.com;75056;Paris;restaurant;;;;
336;261973.66799860497;6253374.019752477;fast_food;PIDÈ PARIS;Mo-Su 12:00-22:00;;"american;mediterranean;turkish";;;75056;Paris;restaurant;;;;
338;258305.11191561449;6248518.31512825;restaurant;Les Cèdres Du Liban;;;lebanese;;;75056;Paris;restaurant;;;;
339;258298.6331212503;6248539.002395924;restaurant;Au Comptoir Nippon;;;japanese;;http://www.comptoirnippon.com;75056;Paris;restaurant;;;;
340;255472.20898611096;6254105.645454038;restaurant;La Fabbrica;;;italian;;;75056;Paris;restaurant;;;;
342;261514.72000196253;6248747.011197841;restaurant;Au Doux Raisin;;;french;;;75056;Paris;restaurant;;;;
345;262084.23051686087;6254468.282800451;restaurant;Buffalo Grill;Su-Th 11:00-23:00, Fr,Sa 11:00-23:30;;steak_house;;;75056;Paris;restaurant;;;;
346;254558.88822389752;6253754.905418165;restaurant;Duret Mandarin;;;chinese;;;75056;Paris;restaurant;;;;
347;254545.9974268637;6253786.996461236;restaurant;Sushi;;;japanese;;;75056;Paris;restaurant;;;;
349;263067.92746115377;6254394.515039273;restaurant;Organisation des Burgers Unis;;;burger;;;75056;Paris;restaurant;;;;
350;264330.8916119998;6253381.551319497;restaurant;China Town Belleville;;;chinese;;;75056;Paris;restaurant;;;;
351;265703.11584305944;6249509.229410242;restaurant;Midam;;;korean;+33 1 43 70 83 46;;75056;Paris;restaurant;;;;
352;265493.8685962153;6249509.381664507;fast_food;Ye Lin;;;chinese;;;75056;Paris;restaurant;;;;
354;257726.90734848517;6248400.772486958;restaurant;Joyti;;;indian;;;75056;Paris;restaurant;;;;
355;257708.17227818465;6248390.775771159;restaurant;Da Maurizio;;;italian;;;75056;Paris;restaurant;;;;
359;263313.5205217419;6246639.266015681;restaurant;Mandarin Dunois;;;chinese;;;75056;Paris;restaurant;;;;
360;263690.8268038366;6252467.97880432;restaurant;Auberge Pyrénées Cévennes;;;regional;+33 1 43 57 33 78;;75056;Paris;restaurant;;;;
365;264914.1166881639;6252181.171786724;restaurant;Sans Gêne Oberkampf;;;french;+33 1 47 00 70 11;;75056;Paris;restaurant;;;;
366;264162.4540904805;6251888.4687396;restaurant;Amores;Mo-Fr 12:00-15:00,19:30-2:00;;italian;+33 1 48 06 10 53;http://www.amores.fr/;75056;Paris;restaurant;;;;
367;264714.7768760004;6252449.685005551;restaurant;L'Arbre Jaune;"Tu-Th 12:00-14:30,18:00-22:30; Fr 12:00-14:30,18:00-23:00; Sa 12:00-23:00; Su 12:00-16:00";;french;+33 1 83 92 50 06;https://www.larbrejaune-paris.fr;75056;Paris;restaurant;;;;
368;264251.48741921695;6251932.634996346;restaurant;Al Taglio;"Mo-Th, Su 12:00-23:00;Fr-Sa 12:00-0:00";;pizza;+33 1 43 38 12 00;;75056;Paris;restaurant;;;;
369;259965.8762668103;6253935.131375913;restaurant;Dolsotbat;;;"asian;korean;japanese";+33 1 48 78 47 44;;75056;Paris;restaurant;;;;
370;259967.99133713532;6253973.434963985;restaurant;L'Hasard;;;french;;;75056;Paris;restaurant;;;;
371;259964.60722461515;6253927.328500971;restaurant;Pasta & Co;;;pasta;;;75056;Paris;restaurant;;;;
372;259963.9838354668;6253918.747039425;restaurant;Y & K WOK;;;vietnamese;+33144919950;;75056;Paris;restaurant;;;;
374;259966.76682273662;6253942.748072065;fast_food;La Salade dans l'Assiette;;;salads;;;75056;Paris;restaurant;;;;
378;260306.35806135053;6253862.942362591;restaurant;Café Lorette;;;regional;;;75056;Paris;restaurant;;;;
379;260301.6381149409;6253597.989416142;restaurant;Sucrépice;Tu-Su 12:00-22:30;limited;chinese;;;75056;Paris;restaurant;;;;
380;260302.37282358017;6253706.650602899;restaurant;Le Laffitte;;;french;+33 1 42 80 07 66;;75056;Paris;restaurant;;;;
381;260321.85373446898;6253687.778661208;fast_food;Cactus;Mo-Fr 12:00-15:00;;mexican;;http://www.cactus-restaurant.com/;75056;Paris;restaurant;;;;
383;258881.0010373353;6245119.641518253;fast_food;Lunch Express;;;kebab;;;75056;Paris;restaurant;;;;
384;264384.7034538493;6252403.925297149;restaurant;Le Zèbre rouge;;;african;+33143570067;;75056;Paris;restaurant;;;;
386;254766.3988866853;6253956.475068433;restaurant;Mineko;;;japanese;;;75056;Paris;restaurant;;;;
392;257489.3960829286;6246455.525537555;restaurant;L'Escale de Plaisance;;;kebab;+33 1 74 30 61 53;;75056;Paris;restaurant;;;;
395;263309.42396448064;6245243.428653052;fast_food;Tonton La Frite;Mo-Sa 11:00-22:00;yes;friture;;http://paris13.lesroisdelafrite.com/;75056;Paris;restaurant;;;;
396;262746.0026257287;6254977.599190768;restaurant;Chettinadu;;;indian;;;75056;Paris;restaurant;;;;
398;264117.4476203528;6250588.290266578;restaurant;Katmandou;Mo-Su 12:00-15:00,19:00-0:00;;indian;+33 1 48 05 36 36;http://katmandou.fr/;75056;Paris;restaurant;;;;
399;264040.2252895895;6250220.472766048;restaurant;Taj;Mo-Su 12:00-14:30,19:00-23:30;;indian;+33 1 48 05 69 19;https://www.restaurant-taj.com/;75056;Paris;restaurant;;;;
400;263908.8794224025;6250051.914821009;restaurant;Sukiyaki;Mo-Su 12:00-23:30;no;japanese;+33 1 49 23 04 98;http://www.restosukiyaki.com/;75056;Paris;restaurant;;;;
403;263922.8277545989;6250238.8125059055;restaurant;Kopi Cream;"Mo-Sa 12:00-14:30;Mo-Sa 19:30-23:30;Su 19:00-23:00";;french;+33 1 47 00 46 55;;75056;Paris;restaurant;;;;
409;257285.91518570762;6249121.818839974;restaurant;Côté Asie;;;asian;;;75056;Paris;restaurant;;;;
410;266433.21585537615;6246827.77960101;restaurant;Namou;;;korean;;;75056;Paris;restaurant;;;;
413;261576.7026944362;6248066.404814434;restaurant;La Crete;;;greek;+33143313047;;75056;Paris;restaurant;;;;
416;262042.18514518824;6250281.261373511;restaurant;Le Trumilou;Mo-Su 11:00-15:00,19:30-24:00;;french;+33 1 42 77 63 98;http://www.letrumilou.fr/;75056;Paris;restaurant;;;;
417;260608.73519419238;6245465.509435604;restaurant;Shinotaku;;;japanese;;;75056;Paris;restaurant;;;;
419;264925.18184554874;6250641.975361832;restaurant;Grain De Riz;Mo-Sa 11:30-22:30;;vietnamese;+33 1 44 93 00 08;http://legrainderiz.free.fr/;75056;Paris;restaurant;;;;
422;265221.4252744478;6249854.295349406;restaurant;Restaurant Émeraude;Mo-Sa 11:00-14:00;;regional;+33 1 43 71 28 08;;75056;Paris;restaurant;;;;
425;265656.12788599555;6250996.664231556;restaurant;Clint;8:30 0:00;limited;burger;;;75056;Paris;restaurant;;;;
426;265243.11031125434;6257210.451877393;restaurant;Le P'tit Hugo;;;crepe;;;75056;Paris;restaurant;;;;
429;262048.44130057088;6246125.073283934;restaurant;Sukhothai;;no;thai;;;75056;Paris;restaurant;;;;
438;260611.86327188363;6246308.908060439;restaurant;Villa Saint-Jacques;Mo-Su 11:30-15:00, 18:30-23:30;;"pizza;italian";+33 1 45 81 34 33;https://villasaintjacques.fr/;75056;Paris;restaurant;;;;
440;254002.11265874584;6247423.146134677;restaurant;L'Os à Moelle;;;french;;;75056;Paris;restaurant;;;;
445;263715.26143206574;6249552.774241279;restaurant;Chez Papa;;;french;;;75056;Paris;restaurant;;;;
450;263724.46755395434;6248939.64844714;fast_food;ABC Délice;;;chinese;;;75056;Paris;restaurant;;;;
451;264381.9872582739;6249335.0184910325;restaurant;Ô Saveur Bar;Mo-Fr 13:00-16:00;;vietnamese;;;75056;Paris;restaurant;;;;
452;257788.0774086761;6246777.23042236;restaurant;Coriandre;"Tu-Sa 12:00-15:00,19:00-23:00; Su 10:00-15:00,19:00-23:00";;indian;+33 9 87 01 82 56;https://www.coriandreparis.com/;75056;Paris;restaurant;;;;
456;262575.56135337515;6244790.424898058;restaurant;Le Bosphore;;no;turkish;;;75056;Paris;restaurant;;;;
458;252895.49673271904;6248644.926057722;restaurant;Chez Antoine;;;french;;;75056;Paris;restaurant;;;;
460;255624.51631341432;6248382.149173119;restaurant;Le Vent de Sable;Mo-Su 11:30-15:00, 19:00-00:00;;international;+33 1 48 28 85 55;http://www.leventdesable.com/;75056;Paris;restaurant;;;;
461;259427.14559111625;6253566.745351736;restaurant;Tian Fu;Mo-Su 12:00-22:30;;chinese;+33142821028;;75056;Paris;restaurant;;;;
462;255726.6185503699;6248600.269481814;restaurant;La Véraison;Tu-Sa 12:00-14:00, 19:00-22:00;;french;0145323939;http://www.laveraison.fr;75056;Paris;restaurant;;;;
463;264756.98922690924;6249499.688148491;restaurant;Gaspard;;;french;;;75056;Paris;restaurant;;;;
465;264640.42658809957;6254403.858694436;fast_food;Itzik;;;sandwich;;;75056;Paris;restaurant;;;;
466;254700.23058135778;6249319.218221699;restaurant;Villa 15;;;pizza;;;75056;Paris;restaurant;;;;
467;260643.68951430146;6252905.704841118;restaurant;Elgi;;;"salads;pasta;bowl";;;75056;Paris;restaurant;;;;
470;265842.7327484123;6255091.932134121;fast_food;Moshiko;;;international;;;75056;Paris;restaurant;;;;
471;265748.51193140494;6255370.339478034;restaurant;Setaï;;no;asian;;;75056;Paris;restaurant;;;;
472;265842.38765799085;6249161.28481514;restaurant;Hell’s Kitchen;Mo-Sa 11:30-15:00, 18:00-23:30;;burger;+33 1 71 20 15 81;;75056;Paris;restaurant;;;;
473;254511.9670585282;6254878.215086818;restaurant;Pizza Pino;;no;pizza;;;75056;Paris;restaurant;;;;
