;X;Y;osm_id;type;name;opening_hours;wheelchair;cuisine;phone;website;com_insee;com_nom;categorie;notation;prix;enjoyment_rate;brand;wikipedia
38;2.2577703999999996;48.845223299730705;node/1021081516;restaurant;Brasserie Moliteuil;;;french;;;75056;Paris;restaurant;;;;;
46;2.2652749;48.840352299731904;node/1025557845;restaurant;Le Pavillon de Jade;;;chinese;+33 1 42 88 56 58;;75056;Paris;restaurant;;;;;
47;2.2655127;48.8402455997319;node/1025560096;restaurant;Iannello;;;italian;;;75056;Paris;restaurant;;;;;
50;2.3578986;48.859214699727204;node/1028527127;restaurant;Le Dôme du Marais;Mo-Su 12:00-01:00;no;french;+331 42 74 54 17;http://www.ledomedumarais.fr/;75056;Paris;restaurant;;;;;
51;2.3978367;48.847788199730104;node/1031514242;fast_food;Burger King;Mo-Su 10:00-02:00;yes;burger;;;75056;Paris;restaurant;;;;;
52;2.375638;48.8475081997301;node/1034179325;restaurant;Le Pop-up du Label;;;french;+33 1 77 11 04 24;;75056;Paris;restaurant;;;;;
53;2.3759639;48.848008799729996;node/1034179332;fast_food;L'Abel Vie;;;japanese;;;75056;Paris;restaurant;;;;;
60;2.3735713;48.846753399730304;node/1041219275;fast_food;So Much...;;;sandwich;+33 1 43 43 35 35;;75056;Paris;restaurant;;;;;
61;2.2962158;48.83785439973251;node/1041617651;restaurant;Yuki;;;japanese;;;75056;Paris;restaurant;;;;;
62;2.3368959;48.8672771997252;node/1042663143;restaurant;Yamamoto;;;japanese;;;75056;Paris;restaurant;;;;;
63;2.317792;48.8296615997346;node/1044767614;restaurant;Les Artistes;Mo-Su 08:00-02:00;limited;french;;;75056;Paris;restaurant;;;;;
64;2.3161973;48.8283683997349;node/1044767617;restaurant;Le 14 Juillet;Mo-Su 12:00-23:00;;french;;;75056;Paris;restaurant;;;;;
68;2.2848132000000003;48.839709799732105;node/1048819977;restaurant;Pizzeria Romanella;;limited;pizza;;;75056;Paris;restaurant;;;;;
70;2.3277474999999996;48.834715799733296;node/1049450304;restaurant;Un Jour à Hà Nôi;Mo-Sa 12:00-15:00,19:00-22:00;;vietnamese;+33142181692;;75056;Paris;restaurant;;;;;
71;2.3258904;48.835421099733104;node/1049450307;restaurant;Enzo;;no;pizza;;;75056;Paris;restaurant;;;;;
73;2.3250292;48.83556979973311;node/1049450325;restaurant;Bistrot Augustin;;yes;french;;;75056;Paris;restaurant;;;;;
74;2.3273848999999998;48.8348539997333;node/1049732000;restaurant;Yummy House;;;asian;;;75056;Paris;restaurant;;;;;
76;2.3294199;48.8341035997334;node/1049732030;restaurant;Yaai Thai;Mo-Su 12:30-14:30, 19:00-23:00;;thai;+33 9 81 07 85 25;https://www.yaaithai.com/;75056;Paris;restaurant;;;;;
77;2.3247172000000003;48.8324179997339;node/1049732032;restaurant;Félicie;;;french;;;75056;Paris;restaurant;;;;;
78;2.3264332000000003;48.8342293997334;node/1049732037;restaurant;Indian House;;;indian;;http://www.restaurabtindien-paris.fr/;75056;Paris;restaurant;;;;;
80;2.290885;48.879598999722205;node/1067812861;restaurant;Au Petit Marguery;;;french;;;75056;Paris;restaurant;;;;;
88;2.2834480999999998;48.8764555997229;node/1088173736;restaurant;Il Maestro;;;italian;;;75056;Paris;restaurant;;;;;
89;2.3459367;48.8499856997295;node/1089313449;restaurant;Le Pré Verre;Tu-Sa 12:00-14:00, 19:30-22:30;;"regional;french";+33 1 43 54 59 47;;75056;Paris;restaurant;;;;;
91;2.3779077999999996;48.8485370997299;node/1096116918;restaurant;3FC Restaurant;;;couscous;;;75056;Paris;restaurant;;;;;
92;2.3804022999999996;48.8511474997292;node/1096116921;restaurant;La Banane ivoirienne;;;ivorian;;;75056;Paris;restaurant;;;;;
98;2.2850715;48.8773155997227;node/1107336093;restaurant;Il Naturale;;limited;pizza;;;75056;Paris;restaurant;;;;;
99;2.2848829;48.8773805997227;node/1107336105;restaurant;La Terrasse;"Mo-Sa 08:00-02:00; Su 09:00-02:00";;"breakfast;french;coffee_shop";+33 1 45 74 32 10;;75056;Paris;restaurant;;;;;
100;2.2847302000000003;48.8774159997227;node/1107336112;restaurant;Le Maillot;"Mo-Fr 06:15-01:00; Sa-Su 07:00-01:00";;"breakfast;french;coffee_shop";+33 1 45 74 41 42;https://lemaillotparis.fr/fr;75056;Paris;restaurant;;;;;
101;2.3445967;48.853366099728696;node/1108414665;restaurant;Au Saint-Séverin;;;french;+33 1 43 54 19 36;;75056;Paris;restaurant;;;;;
104;2.3464352;48.85273359972879;node/1109569346;restaurant;Jardin Notre-Dame;;;french;;;75056;Paris;restaurant;;;;;
105;2.3464045;48.8526260997289;node/1109569673;restaurant;Welcome to Istanbul;;;turkish;;;75056;Paris;restaurant;;;;;
106;2.3458688;48.8510654997292;node/1109677556;restaurant;Le Bar à Huîtres - Saint-Germain;Mo-Su 12:00-00:00;;seafood;+33 1 44 07 27 37;http://www.lebarahuitres.com/;75056;Paris;restaurant;;;;;
107;2.3480197;48.8515004997291;node/1109781722;restaurant;Hippopotamus;;limited;steak_house;;;75056;Paris;restaurant;;;;;
108;2.3475831;48.8505009997294;node/1109781731;restaurant;Le Twickenham;;;seafood;+33 1 43 54 52 44;http://www.letwickenham.com/;75056;Paris;restaurant;;;;;
112;2.3132873;48.841493199731595;node/1113738992;restaurant;Délices d'Asie;;;asian;;;75056;Paris;restaurant;;;;;
119;2.3157482000000003;48.8773455997227;node/1119246160;restaurant;Sanna Tandoori;;;indian;;;75056;Paris;restaurant;;;;;
125;2.348231;48.8485653997299;node/1129806595;restaurant;Pizza Roma;;;pizza;;;75056;Paris;restaurant;;;;;
129;2.3511108;48.8510070997293;node/1133077163;restaurant;Hostellerie de l'Oie qui fume;;;french;+33951138899;;75056;Paris;restaurant;;;;;
130;2.3485408;48.852109499729;node/1133077173;fast_food;Subway;Mo-Su 09:00-11:00;;sandwich;;;75056;Paris;restaurant;;;;;
136;2.3414502999999995;48.842678799731296;node/1142802952;restaurant;Le Risalé;;;turkish;;http://www.lerisale.fr/;75056;Paris;restaurant;;;;;
137;2.3501179;48.857563599727605;node/1143736503;restaurant;Le Céleste Gourmand;;;chinese;+33 1 44 59 37 68;https://lecelestegourmand.com/;75056;Paris;restaurant;;;;;
150;2.3493182;48.8449588997308;node/1145811910;restaurant;Quartier Latin;;;italian;;;75056;Paris;restaurant;;;;;
154;2.3498446;48.8449424997308;node/1146152616;restaurant;Buro Blanco;;;spanish;;;75056;Paris;restaurant;;;;;
157;2.3510927;48.8389863997322;node/1155164311;restaurant;Dans les Landes;Mo-Su 12:00-23:00;;gascogne;+33 1 45 87 06 00;http://www.dansleslandesmaisaparis.com;75056;Paris;restaurant;;;;;
158;2.3562199;48.8384168997324;node/1157983703;restaurant;Romanella;;;pizza;;;75056;Paris;restaurant;;;;;
168;2.3613022;48.858050899727495;node/1166729166;restaurant;Le Petit Dakar;"Tu-Sa 12:30-14:30;Tu-Su 19:30-22:30";no;african;+331 44 59 34 74;https://www.lepetitdakar.com/;75056;Paris;restaurant;;;;;
173;2.3025456;48.858417699727404;node/1179696276;restaurant;La Fontaine de Mars;;yes;fine_dining;+33 1 47 05 46 44;http://www.fontainedemars.com/;75056;Paris;restaurant;;;;;
175;2.365061;48.884117099721095;node/1181374937;restaurant;Meram;;;turkish;;;75056;Paris;restaurant;;;;;
176;2.3035803;48.856888599727796;node/1181634263;fast_food;L'Artisan du Burger;;;burger;;;75056;Paris;restaurant;;;;;
177;2.3025566000000004;48.8581563997275;node/1181634478;restaurant;Pottoka;Mo-Su 12:00-14:30, 19:30-22:30;;french;+33145518838;https://pottoka.fr/;75056;Paris;restaurant;;;;;
178;2.3002796;48.85982239972711;node/1181635071;restaurant;Il Sorrentino;;;italian;;;75056;Paris;restaurant;;;;;
180;2.2954995;48.8464240997304;node/1186043364;restaurant;Le Café du Commerce;;no;french;+33 1 45 75 03 27;https://www.lecafeducommerce.com/;75056;Paris;restaurant;;;;;
189;2.3397562;48.8501504997295;node/1194033471;restaurant;Tokyotori;;;japanese;+33 1 55 42 02 88;;75056;Paris;restaurant;;;;;
190;2.3741124;48.8507369997293;node/1197621387;restaurant;Swan & Vincent;;;italian;;;75056;Paris;restaurant;;;;;
191;2.3740125;48.8500039997295;node/1197621395;restaurant;Le Cheval de Troie;;;turkish;+33143442444;;75056;Paris;restaurant;;;;;
192;2.3778571;48.8516113997291;node/1197621396;restaurant;Menekse;;;turkish;;;75056;Paris;restaurant;;;;;
193;2.3762126;48.850350499729394;node/1197621414;restaurant;John Weng;;;asian;;;75056;Paris;restaurant;;;;;
194;2.3743592000000002;48.8498721997295;node/1197621415;fast_food;Mister Loc Lac;Mo-Fr 12:00-18:00;;vietnamese;;http://misterloclac.com/;75056;Paris;restaurant;;;;;
195;2.3809807999999997;48.846510799730396;node/1197653504;restaurant;Fu Yuan;;;chinese;;;75056;Paris;restaurant;;;;;
196;2.3770818;48.8452144997307;node/1197653535;restaurant;T(h)é;;;"chinese;vietnamese";;;75056;Paris;restaurant;;;;;
199;2.3460696;48.8898520997196;node/1211150598;restaurant;Sakura Sushi;;;japanese;;;75056;Paris;restaurant;;;;;
200;2.3190545;48.885985599720605;node/1214708068;restaurant;Les fils à Maman;;;burger;;;75056;Paris;restaurant;;;;;
201;2.285441;48.8353459997332;node/1215380047;restaurant;Yanase;Tu-Sa 12:00-14:30,19:30-22:30, Mo,Su off;;japanese;+33142500720;http://www.yanase.fr/;75056;Paris;restaurant;;;;;
202;2.3622282;48.824715499735795;node/1215494562;restaurant;Jardin d'Asie;Mo-Su,PH 11:30-14:30,18:30-22:30;;chinese;;;75056;Paris;restaurant;;;;;
203;2.3625006;48.8231633997362;node/1215494563;fast_food;Seng hong - 順興 - Banh-mi Dac biet;;;vietnamese;;;75056;Paris;restaurant;;;;;
204;2.3629328999999997;48.824545299735796;node/1215502245;restaurant;Hawai;"Mo,We-Fr 11:30-15:00,18:00-23:00; Sa,Su 11:30-23:00";no;chinese;+33 1 45 86 91 90;http://www.hawai-ivry.fr/;75056;Paris;restaurant;;;;;
207;2.3649842;48.8217880997365;node/1215516797;restaurant;Chine Massena;;;chinese;;;75056;Paris;restaurant;;;;;
210;2.3626544;48.8299381997345;node/1215524265;restaurant;Mer de Chine - 北海;We-Su 12:00-15:00, Mo-Su 18:30-24:00;yes;chineses (Teochew) -  中国潮州;;;75056;Paris;restaurant;;;;;
215;2.3004692;48.8515886997291;node/1223805591;restaurant;Carmine;;yes;pizza;+33 147349056;;75056;Paris;restaurant;;;;;
216;2.2921972999999998;48.85689229972779;node/1224673311;restaurant;Castel Cafe;;yes;french;+33147341698;;75056;Paris;restaurant;;;;;
225;2.3832978;48.85123979972921;node/1224795724;restaurant;Osteria Ferrara;"Mo-Fr 12:00-14:00; 19:30-22:00";;italian;+33 1 43 71 67 69;;75056;Paris;restaurant;;;;;
232;2.393033;48.8503829997294;node/1224795735;restaurant;Comptoir Voltaire;;limited;brasserie;;;75056;Paris;restaurant;;;;;
233;2.3918245;48.8502001997295;node/1224795736;restaurant;Kim et Kim;;limited;korean;;;75056;Paris;restaurant;;;;;
236;2.2591061000000003;48.845670799730605;node/1226636440;fast_food;Délices d'Asie Chanez;;;asian;;;75056;Paris;restaurant;;;;;
237;2.2581442000000003;48.8452476997307;node/1226636530;fast_food;Moli Crêpes;;;crepe;;;75056;Paris;restaurant;;;;;
238;2.3405044999999998;48.8943818997185;node/1229535476;restaurant;Le Ruisseau;"Mo 19:30-23:00; Tu-Fr 12:00-15:00, 19:30-23:00; Sa, Su 12:00-23:00";;burger;+33142233123;http://www.leruisseauburger.com/;75056;Paris;restaurant;;;;;
242;2.3329602;48.8752165997233;node/1232995904;restaurant;Mybobun;;;vietnamese;;;75056;Paris;restaurant;;;;;
244;2.3278199;48.8776388997227;node/1234174563;fast_food;À Croquer;;;french;;;75056;Paris;restaurant;;;;;
245;2.3292402;48.883087299721296;node/1234196514;restaurant;Vincenzo;;;italian;;;75056;Paris;restaurant;;;;;
247;2.3331994;48.8821023997215;node/1234207142;restaurant;Chez Pino;;no;italian;;;75056;Paris;restaurant;;;;;
250;2.3313488999999996;48.879376399722204;node/1234207475;restaurant;Kohinoor;Mo-Su 12:00-14:30, 18:30-23:30;;indian;;;75056;Paris;restaurant;;;;;
252;2.329043;48.8836396997212;node/1234207512;restaurant;Crêperie Pen-ty;"Mo-Fr 12:00-14:30, 19:00-23:15; Sa 12:30-16:00, 18:00-23:30; Su 12:30-16:00, 18:30-23:00";;crepe;+33 1 48 74 18 49;https://www.creperiepenty.com/;75056;Paris;restaurant;;;;;
253;2.3351075;48.8792819997222;node/1234212730;restaurant;Via Emilia;;;italian;;;75056;Paris;restaurant;;;;;
259;2.284593;48.878666199722396;node/1235842550;restaurant;Léon de Bruxelles;Mo-Su 11:45-23:30;;friture;+33 1 55 37 95 30;https://restaurants.leon-de-bruxelles.fr/fr/s/moules-frites/porte-maillot/15001;75056;Paris;restaurant;;;;;
260;2.3426215;48.8782322997225;node/1236341135;restaurant;La Palanche d'Aulac;"Mo-Tu 12:00-15:00,18:30-23:00; Th-Su 12:00-15:00,18:30-23:00; ";;vietnamese;;;75056;Paris;restaurant;;;;;
270;2.3453494;48.8748777997233;node/1242438647;restaurant;Black bean;;;mexican;;;75056;Paris;restaurant;;;;;
272;2.3448908;48.8765184997229;node/1242439119;restaurant;Mi Ranchito Paisa;"Mo-Fr 12:00-14:30,19:00-23:30; Sa,Su 12:00-23:30";;latino;+33 1 48 78 45 94;;75056;Paris;restaurant;;;;;
276;2.3419536;48.875570599723204;node/1242504439;restaurant;Les Bariolés de Maud;"Mo-We, Fr 11:30-22:30; Th 11:30-00:00; Sa-Su 11:30-15:30";;sandwich;+33 9 73 17 01 68;http://lesbariolesdemaud.fr;75056;Paris;restaurant;;;;;
277;2.3469588;48.87101449972429;node/1242530134;fast_food;BOLLYNAN;;;indian;;;75056;Paris;restaurant;;;;;
278;2.3415791;48.8719297997241;node/1242530870;restaurant;Hard Rock Cafe;;yes;american;;;75056;Paris;restaurant;;;;;
279;2.3353615000000003;48.885369099720705;node/1242991243;restaurant;Le Taroudant;;yes;moroccan;;;75056;Paris;restaurant;;;;;
280;2.3355174;48.885711299720704;node/1242991244;restaurant;La Mascotte Montmartre;;limited;french;;;75056;Paris;restaurant;;;;;
281;2.3353078999999997;48.88555609972071;node/1242991247;restaurant;La Villa des Abbesses;;yes;french;;;75056;Paris;restaurant;;;;;
282;2.3354473999999996;48.88552789972071;node/1242991249;restaurant;Café Bruant;;no;french;;;75056;Paris;restaurant;;;;;
287;2.4029905;48.8366295997328;node/1243135895;restaurant;Sakura;Tu-Sa 11:50-14:30,18:50-22:30;limited;japanese;;;75056;Paris;restaurant;;;;;
288;2.3991495;48.838508899732396;node/1243135990;restaurant;Le 217;;;brasserie;;;75056;Paris;restaurant;;;;;
290;2.385423;48.8426415997314;node/1243136021;restaurant;Fondue Chongqing;;;"regional;chinese;Sichuan";+33 1 43 46 06 96;;75056;Paris;restaurant;;;;;
296;2.3046139;48.8468450997303;node/1244411708;restaurant;Fontanarosa;;;italian;;;75056;Paris;restaurant;;;;;
299;2.3049111;48.8467539997303;node/1244411732;restaurant;Chez Rami;;;lebanese;;;75056;Paris;restaurant;;;;;
301;2.3077032;48.84718909973021;node/1249809140;fast_food;Traiteur Asiatique;;;asian;;;75056;Paris;restaurant;;;;;
304;2.3906889;48.837889399732504;node/1252380570;restaurant;Délices Dugommier;;limited;asian;;;75056;Paris;restaurant;;;;;
306;2.388423;48.839758499732106;node/1252382310;restaurant;Le Touareg;Mo-Sa 12:00-15:00,19:00-23:00, Su 12:00-15:00;yes;mediterranean;+33 1 43076849;http://www.restaurantletouareg.com/;75056;Paris;restaurant;;;;;
308;2.3105178;48.8482417997299;node/1260668940;restaurant;Sushi Eiffel;;;japanese;;;75056;Paris;restaurant;;;;;
309;2.3098464;48.8512168997292;node/1262015777;restaurant;Giocco;;;italian;;;75056;Paris;restaurant;;;;;
311;2.3097402000000002;48.851071199729205;node/1262015852;fast_food;Le P'tit Ministère;Mo-Fr 10:00-16:00;;burger;;;75056;Paris;restaurant;;;;;
312;2.3102047999999997;48.851384999729206;node/1263347459;fast_food;L'Annex;;;sandwich;;;75056;Paris;restaurant;;;;;
319;2.3131416000000002;48.8517505997291;node/1264875628;restaurant;Ly Lan;;;asian;;;75056;Paris;restaurant;;;;;
322;2.3954687999999997;48.8470068997303;node/1270592256;restaurant;L'Églantine;;;french;;;75056;Paris;restaurant;;;;;
324;2.3534488999999996;48.8724922997239;node/1271556294;restaurant;L'Épicerie de la Cour;;;french;;;75056;Paris;restaurant;;;;;
325;2.3523292999999996;48.8717305997241;node/1271556413;restaurant;Pouliche;;;french;+33 1 45 89 07 56;https://www.poulicheparis.com/;75056;Paris;restaurant;;;;;
326;2.3536335;48.8724302997239;node/1271556676;restaurant;Gros;Mo-Su 12:00-00:00;;french;;https://www.grosrestaurant.fr;75056;Paris;restaurant;;;;;
329;2.3165065;48.8825902997214;node/1272037730;restaurant;I Love Bo-Bun;;;vietnamese;;http://www.ilovebobun.fr/i-love-bo-bun-17eme/;75056;Paris;restaurant;;;;;
333;2.355746;48.871169499724296;node/1272453455;restaurant;Le Trésor de Kashmir;;;indian;+33 1 84 19 29 14;http://restaurant-indien-paris10.fr;75056;Paris;restaurant;;;;;
334;2.3541352000000004;48.871491999724206;node/1272453876;restaurant;Pooja;;yes;indian;;http://www.poojarestaurant.com;75056;Paris;restaurant;;;;;
336;2.3533494999999998;48.873203599723794;node/1272517131;fast_food;PIDÈ PARIS;Mo-Su 12:00-22:00;;"american;mediterranean;turkish";;;75056;Paris;restaurant;;;;;
338;2.3203943;48.8445055997309;node/1273736829;restaurant;Les Cèdres Du Liban;;;lebanese;;;75056;Paris;restaurant;;;;;
339;2.3203361;48.844627899730796;node/1274091269;restaurant;Au Comptoir Nippon;;;japanese;;http://www.comptoirnippon.com;75056;Paris;restaurant;;;;;
340;2.2949459;48.8775261997227;node/1274822018;restaurant;La Fabbrica;;;italian;;;75056;Paris;restaurant;;;;;
342;2.3492267000000004;48.84585759973061;node/1277049069;restaurant;Au Doux Raisin;;;french;;;75056;Paris;restaurant;;;;;
345;2.3543427;48.8796685997221;node/1278464877;restaurant;Buffalo Grill;Su-Th 11:00-23:00, Fr,Sa 11:00-23:30;;steak_house;;;75056;Paris;restaurant;;;;;
346;2.2867414;48.875453999723206;node/1279440211;restaurant;Duret Mandarin;;;chinese;;;75056;Paris;restaurant;;;;;
347;2.2866256000000003;48.8756435997231;node/1279440218;restaurant;Sushi;;;japanese;;;75056;Paris;restaurant;;;;;
349;2.3631794;48.8792327997223;node/1281900646;restaurant;Organisation des Burgers Unis;;;burger;;;75056;Paris;restaurant;;;;;
350;2.3745248;48.8732480997237;node/1282166604;restaurant;China Town Belleville;;;chinese;;;75056;Paris;restaurant;;;;;
351;2.3868517000000002;48.850363399729396;node/1286567683;restaurant;Midam;;;korean;+33 1 43 70 83 46;;75056;Paris;restaurant;;;;;
352;2.3849720000000003;48.85036429972939;node/1286568262;fast_food;Ye Lin;;;chinese;;;75056;Paris;restaurant;;;;;
354;2.3152002;48.843810699730994;node/1287933955;restaurant;Joyti;;;indian;;;75056;Paris;restaurant;;;;;
355;2.3150319;48.843751599731;node/1287933961;restaurant;Da Maurizio;;;italian;;;75056;Paris;restaurant;;;;;
359;2.3653855999999998;48.8333956997336;node/1291954431;restaurant;Mandarin Dunois;;;chinese;;;75056;Paris;restaurant;;;;;
360;2.368775;48.8678499997251;node/1291954808;restaurant;Auberge Pyrénées Cévennes;;;regional;+33 1 43 57 33 78;;75056;Paris;restaurant;;;;;
365;2.3797639999999998;48.866155199725505;node/1292272163;restaurant;Sans Gêne Oberkampf;;;french;+33 1 47 00 70 11;;75056;Paris;restaurant;;;;;
366;2.3730117;48.8644254997259;node/1292272420;restaurant;Amores;Mo-Fr 12:00-15:00,19:30-2:00;;italian;+33 1 48 06 10 53;http://www.amores.fr/;75056;Paris;restaurant;;;;;
367;2.3779733;48.867741899725104;node/1292272423;restaurant;L'Arbre Jaune;"Tu-Th 12:00-14:30,18:00-22:30; Fr 12:00-14:30,18:00-23:00; Sa 12:00-23:00; Su 12:00-16:00";;french;+33 1 83 92 50 06;https://www.larbrejaune-paris.fr;75056;Paris;restaurant;;;;;
368;2.3738115;48.86468649972589;node/1292272439;restaurant;Al Taglio;"Mo-Th, Su 12:00-23:00;Fr-Sa 12:00-0:00";;pizza;+33 1 43 38 12 00;;75056;Paris;restaurant;;;;;
369;2.3353132000000003;48.8765187997229;node/1293504445;restaurant;Dolsotbat;;;"asian;korean;japanese";+33 1 48 78 47 44;;75056;Paris;restaurant;;;;;
370;2.3353322;48.8767450997229;node/1293504454;restaurant;L'Hasard;;;french;;;75056;Paris;restaurant;;;;;
371;2.3353017999999994;48.876472699722996;node/1293504460;restaurant;Pasta & Co;;;pasta;;;75056;Paris;restaurant;;;;;
372;2.3352962;48.87642199972299;node/1293504477;restaurant;Y & K WOK;;;vietnamese;+33144919950;;75056;Paris;restaurant;;;;;
374;2.3353212;48.8765637997229;node/1293504490;fast_food;La Salade dans l'Assiette;;;salads;;;75056;Paris;restaurant;;;;;
378;2.3383717999999996;48.876092299723;node/1294579480;restaurant;Café Lorette;;;regional;;;75056;Paris;restaurant;;;;;
379;2.3383293999999997;48.8745268997234;node/1294579482;restaurant;Sucrépice;Tu-Su 12:00-22:30;limited;chinese;;;75056;Paris;restaurant;;;;;
380;2.338336;48.8751688997233;node/1294579501;restaurant;Le Laffitte;;;french;+33 1 42 80 07 66;;75056;Paris;restaurant;;;;;
381;2.338511;48.8750573997233;node/1294579504;fast_food;Cactus;Mo-Fr 12:00-15:00;;mexican;;http://www.cactus-restaurant.com/;75056;Paris;restaurant;;;;;
383;2.3255676;48.824409099735796;node/1297119480;fast_food;Lunch Express;;;kebab;;;75056;Paris;restaurant;;;;;
384;2.3750082000000003;48.8674714997252;node/1298787603;restaurant;Le Zèbre rouge;;;african;+33143570067;;75056;Paris;restaurant;;;;;
386;2.2886055;48.8766448997229;node/1300607549;restaurant;Mineko;;;japanese;;;75056;Paris;restaurant;;;;;
392;2.3130666;48.8323091997339;node/1305927840;restaurant;L'Escale de Plaisance;;;kebab;+33 1 74 30 61 53;;75056;Paris;restaurant;;;;;
395;2.3653487999999996;48.8251411997357;node/1306563387;fast_food;Tonton La Frite;Mo-Sa 11:00-22:00;yes;friture;;http://paris13.lesroisdelafrite.com/;75056;Paris;restaurant;;;;;
396;2.3602875;48.8826773997214;node/1306589616;restaurant;Chettinadu;;;indian;;;75056;Paris;restaurant;;;;;
398;2.3726074;48.85674149972779;node/1307180982;restaurant;Katmandou;Mo-Su 12:00-15:00,19:00-0:00;;indian;+33 1 48 05 36 36;http://katmandou.fr/;75056;Paris;restaurant;;;;;
399;2.3719137000000003;48.854567499728404;node/1307259082;restaurant;Taj;Mo-Su 12:00-14:30,19:00-23:30;;indian;+33 1 48 05 69 19;https://www.restaurant-taj.com/;75056;Paris;restaurant;;;;;
400;2.3707338;48.853571199728606;node/1307259117;restaurant;Sukiyaki;Mo-Su 12:00-23:30;no;japanese;+33 1 49 23 04 98;http://www.restosukiyaki.com/;75056;Paris;restaurant;;;;;
403;2.3708591;48.8546758997283;node/1307259205;restaurant;Kopi Cream;"Mo-Sa 12:00-14:30;Mo-Sa 19:30-23:30;Su 19:00-23:00";;french;+33 1 47 00 46 55;;75056;Paris;restaurant;;;;;
409;2.3112387;48.84807329973;node/1307645923;restaurant;Côté Asie;;;asian;;;75056;Paris;restaurant;;;;;
410;2.3934102999999998;48.834510399733404;node/1311964030;restaurant;Namou;;;korean;;;75056;Paris;restaurant;;;;;
413;2.3497835;48.841833899731505;node/1314226916;restaurant;La Crete;;;greek;+33143313047;;75056;Paris;restaurant;;;;;
416;2.353965;48.8549267997283;node/1319170656;restaurant;Le Trumilou;Mo-Su 11:00-15:00,19:30-24:00;;french;+33 1 42 77 63 98;http://www.letrumilou.fr/;75056;Paris;restaurant;;;;;
417;2.3410881000000003;48.8264545997353;node/1319967012;restaurant;Shinotaku;;;japanese;;;75056;Paris;restaurant;;;;;
419;2.3798633999999996;48.857058799727795;node/1326727945;restaurant;Grain De Riz;Mo-Sa 11:30-22:30;;vietnamese;+33 1 44 93 00 08;http://legrainderiz.free.fr/;75056;Paris;restaurant;;;;;
422;2.3825246;48.852403099728896;node/1326932320;restaurant;Restaurant Émeraude;Mo-Sa 11:00-14:00;;regional;+33 1 43 71 28 08;;75056;Paris;restaurant;;;;;
425;2.3864296;48.859155099727204;node/1327901932;restaurant;Clint;8:30 0:00;limited;burger;;;75056;Paris;restaurant;;;;;
426;2.3827194;48.8958658997181;node/1330565399;restaurant;Le P'tit Hugo;;;crepe;;;75056;Paris;restaurant;;;;;
429;2.3540212000000005;48.830355099734405;node/1338927195;restaurant;Sukhothai;;no;thai;;;75056;Paris;restaurant;;;;;
438;2.3411162;48.831442199734106;node/1343409679;restaurant;Villa Saint-Jacques;Mo-Su 11:30-15:00, 18:30-23:30;;"pizza;italian";+33 1 45 81 34 33;https://villasaintjacques.fr/;75056;Paris;restaurant;;;;;
